ETABLISSEMENT_ID,NBRE_ENTREPRISE,CATEGORIE-0,CATEGORIE-1,CATEGORIE-2,CATEGORIE-3,CATEGORIE-4,CATEGORIE-5,CATEGORIE-6,CATEGORIE-7,CATEGORIE-8,CODGEO
et1000,25,22,1,2,0,0,0,0,0,0,1001
et1001,10,9,1,0,0,0,0,0,0,0,1002
et1002,996,577,272,63,46,24,9,3,2,0,1004
et1003,99,73,20,3,1,2,0,0,0,0,1005
et1004,4,4,0,0,0,0,0,0,0,0,1006
et1005,124,87,20,10,5,2,0,0,0,0,1007
et1006,48,28,15,2,3,0,0,0,0,0,1008
et1007,22,17,4,1,0,0,0,0,0,0,1009
et1008,33,23,8,1,0,0,0,1,0,0,1010
et1009,14,11,2,1,0,0,0,0,0,0,1011
et1010,12,8,3,0,1,0,0,0,0,0,1012
et1011,9,9,0,0,0,0,0,0,0,0,1013
et1012,314,130,97,33,28,16,5,5,0,0,1014
et1013,24,17,6,1,0,0,0,0,0,0,1015
et1014,9,8,0,1,0,0,0,0,0,0,1016
et1015,13,10,1,1,0,1,0,0,0,0,1017
et1016,1,1,0,0,0,0,0,0,0,0,1019
et1017,67,42,20,5,0,0,0,0,0,0,1021
et1018,101,67,28,3,3,0,0,0,0,0,1022
et1019,2,2,0,0,0,0,0,0,0,0,1023
et1020,116,79,28,4,0,1,1,3,0,0,1024
et1021,101,79,12,7,3,0,0,0,0,0,1025
et1022,49,36,11,1,0,1,0,0,0,0,1026
et1023,109,66,27,6,6,0,2,2,0,0,1027
et1024,31,27,4,0,0,0,0,0,0,0,1028
et1025,25,19,5,1,0,0,0,0,0,0,1029
et1026,45,34,9,1,0,1,0,0,0,0,1030
et1027,252,112,80,24,18,11,4,3,0,0,1031
et1028,177,92,53,9,11,12,0,0,0,0,1032
et1029,655,373,203,36,21,16,4,2,0,0,1033
et1030,708,421,191,40,25,18,8,3,2,0,1034
et1031,15,11,4,0,0,0,0,0,0,0,1035
et1032,20,16,4,0,0,0,0,0,0,0,1036
et1033,9,7,2,0,0,0,0,0,0,0,1037
et1034,31,25,4,1,1,0,0,0,0,0,1038
et1035,27,16,3,6,2,0,0,0,0,0,1039
et1036,13,10,3,0,0,0,0,0,0,0,1040
et1037,18,14,3,1,0,0,0,0,0,0,1041
et1038,7,5,1,1,0,0,0,0,0,0,1042
et1039,480,262,133,37,25,16,2,3,1,1,1043
et1040,28,21,4,2,1,0,0,0,0,0,1044
et1041,14,8,5,1,0,0,0,0,0,0,1045
et1042,36,25,9,1,1,0,0,0,0,0,1046
et1043,96,44,20,13,9,5,4,0,1,0,1047
et1044,195,135,36,10,8,3,2,0,1,0,1049
et1045,5,3,1,0,0,1,0,0,0,0,1050
et1046,6,5,1,0,0,0,0,0,0,0,1051
et1047,14,9,4,0,1,0,0,0,0,0,1052
et1048,3103,1722,911,165,159,87,36,13,8,2,1053
et1049,42,35,6,1,0,0,0,0,0,0,1054
et1050,17,13,4,0,0,0,0,0,0,0,1056
et1051,26,19,5,1,1,0,0,0,0,0,1057
et1052,44,33,7,0,1,3,0,0,0,0,1058
et1053,6,5,1,0,0,0,0,0,0,0,1059
et1054,23,17,4,1,0,1,0,0,0,0,1060
et1055,35,30,4,0,1,0,0,0,0,0,1061
et1056,44,28,9,2,2,1,2,0,0,0,1062
et1057,39,20,7,3,2,5,2,0,0,0,1063
et1058,45,33,7,2,1,1,0,0,1,0,1064
et1059,68,44,20,2,1,1,0,0,0,0,1065
et1060,5,4,1,0,0,0,0,0,0,0,1066
et1061,16,9,3,0,3,1,0,0,0,0,1067
et1062,40,28,10,2,0,0,0,0,0,0,1068
et1063,57,39,8,1,3,4,2,0,0,0,1069
et1064,181,115,47,11,4,4,0,0,0,0,1071
et1065,188,114,47,9,9,4,5,0,0,0,1072
et1066,41,27,13,0,0,1,0,0,0,0,1073
et1067,155,106,37,3,6,2,1,0,0,0,1074
et1068,81,55,17,0,3,4,2,0,0,0,1075
et1069,6,6,0,0,0,0,0,0,0,0,1076
et1070,11,10,1,0,0,0,0,0,0,0,1077
et1071,32,23,7,1,0,1,0,0,0,0,1078
et1072,65,45,15,3,2,0,0,0,0,0,1079
et1073,17,12,3,0,1,1,0,0,0,0,1080
et1074,35,26,8,0,0,0,0,0,1,0,1081
et1075,15,13,1,0,0,0,0,1,0,0,1082
et1076,55,37,15,1,2,0,0,0,0,0,1083
et1077,35,32,2,1,0,0,0,0,0,0,1084
et1078,21,17,2,2,0,0,0,0,0,0,1085
et1079,10,9,0,1,0,0,0,0,0,0,1087
et1080,63,36,17,4,3,3,0,0,0,0,1088
et1081,119,61,33,14,8,2,1,0,0,0,1089
et1082,19,15,3,0,1,0,0,0,0,0,1090
