ZONE_ID,EU_CIRCO,NOM_REGION,CHEF.LIEU_REGION,NOM_DEPARTEMENT,NOM_COMMUNE,CODES_POSTAUX,CODE_INSEE
z1000,Sud-Est,Rhône-Alpes,Lyon,Ain,Attignat,1340,1024
z1001,Sud-Est,Rhône-Alpes,Lyon,Ain,Beaupont,1270,1029
z1002,Sud-Est,Rhône-Alpes,Lyon,Ain,Bény,1370,1038
z1003,Sud-Est,Rhône-Alpes,Lyon,Ain,Béreyziat,1340,1040
z1004,Sud-Est,Rhône-Alpes,Lyon,Ain,Bohas-Meyriat-Rignat,1250,1245
z1005,Sud-Est,Rhône-Alpes,Lyon,Ain,Bourg-en-Bresse,1000,1053
z1006,Sud-Est,Rhône-Alpes,Lyon,Ain,Buellas,1310,1065
z1007,Sud-Est,Rhône-Alpes,Lyon,Ain,Certines,1240,1069
z1008,Sud-Est,Rhône-Alpes,Lyon,Ain,Ceyzériat,1250,1072
z1009,Sud-Est,Rhône-Alpes,Lyon,Ain,Chavannes-sur-Suran,1250,1095
z1010,Sud-Est,Rhône-Alpes,Lyon,Ain,Cize,1250,1106
z1011,Sud-Est,Rhône-Alpes,Lyon,Ain,Coligny,1270,1108
z1012,Sud-Est,Rhône-Alpes,Lyon,Ain,Confrançon,1310,1115
z1013,Sud-Est,Rhône-Alpes,Lyon,Ain,Cormoz,1560,1124
z1014,Sud-Est,Rhône-Alpes,Lyon,Ain,Corveissiat,1250,1125
z1015,Sud-Est,Rhône-Alpes,Lyon,Ain,Courmangoux,1370,1127
z1016,Sud-Est,Rhône-Alpes,Lyon,Ain,Courtes,1560,1128
z1017,Sud-Est,Rhône-Alpes,Lyon,Ain,Cras-sur-Reyssouze,1340,1130
z1018,Sud-Est,Rhône-Alpes,Lyon,Ain,Curciat-Dongalon,1560,1139
z1019,Sud-Est,Rhône-Alpes,Lyon,Ain,Curtafond,1310,1140
z1020,Sud-Est,Rhône-Alpes,Lyon,Ain,Dompierre-sur-Veyle,1240,1145
z1021,Sud-Est,Rhône-Alpes,Lyon,Ain,Domsure,1270,1147
z1022,Sud-Est,Rhône-Alpes,Lyon,Ain,Drom,1250,1150
z1023,Sud-Est,Rhône-Alpes,Lyon,Ain,Druillat,1160,1151
z1024,Sud-Est,Rhône-Alpes,Lyon,Ain,Etrez,1340,1154
z1025,Sud-Est,Rhône-Alpes,Lyon,Ain,Foissiat,1340,1163
z1026,Sud-Est,Rhône-Alpes,Lyon,Ain,Germagnat,1250,1172
z1027,Sud-Est,Rhône-Alpes,Lyon,Ain,Grand-Corent,1250,1177
z1028,Sud-Est,Rhône-Alpes,Lyon,Ain,Hautecourt-Romanèche,1250,1184
z1029,Sud-Est,Rhône-Alpes,Lyon,Ain,Jasseron,1250,1195
z1030,Sud-Est,Rhône-Alpes,Lyon,Ain,Jayat,1340,1196
z1031,Sud-Est,Rhône-Alpes,Lyon,Ain,Journans,1250,1197
